datetime,filename,corr_offset_x,corr_offset_y,corr_offset_units,corr_rate_x,corr_rate_y,corr_rate_units,scan_matched
2025-07-17T20:43:01.315171+00:00,./2.png,-35.29091127854588,14.138517776312094,nm,-2.5067622924702246,0.9827046431077066,nm/s,True
2025-07-17T20:43:07.190446+00:00,./3.png,-50.002903954652275,20.015691284959644,nm,-2.504051755212547,1.0003231352826123,nm/s,True
2025-07-17T20:43:12.283983+00:00,./4.png,-62.72003594709994,25.29761554968959,nm,-2.4967192723735314,1.0369855494776896,nm/s,True
2025-07-17T20:43:16.812279+00:00,./5.png,-74.05257127858584,29.639309684522026,nm,-2.5026048057560533,0.958792034538475,nm/s,True
2025-07-17T20:43:27.529936+00:00,./6.png,-100.85222222964542,40.36349311674624,nm,-2.5005139603795468,1.000608942068608,nm/s,True
2025-07-17T20:43:32.625144+00:00,./7.png,-113.5512443180243,45.637874231417015,nm,-2.492346159053543,1.0351650246016995,nm/s,True
2025-07-17T20:43:37.730854+00:00,./8.png,-126.28391068029404,50.504825995581385,nm,-2.4938091592099325,0.9532370158439026,nm/s,True
datetime,filename,corr_offset_x,corr_offset_y,corr_offset_units,corr_rate_x,corr_rate_y,corr_rate_units,scan_matched
2025-07-17T21:15:54.810996+00:00,./0.png,,,,,,,False
2025-07-17T21:16:03.648599+00:00,./1.png,-22.184222526219788,8.95576835385317,nm,-2.5102080876703545,1.0133707470060795,nm/s,True
2025-07-17T21:16:09.530027+00:00,./2.png,-36.959897023878206,14.73483996456252,nm,-2.512259692315951,0.9825966773221316,nm/s,True
2025-07-17T21:16:15.239017+00:00,./3.png,-51.23635588405298,20.441543099810247,nm,-2.500697822237344,0.99959942743773,nm/s,True
2025-07-17T21:16:19.376003+00:00,./4.png,-61.544750573625905,24.720594347158293,nm,-2.491764460786891,1.0343402775228259,nm/s,True
2025-07-17T21:16:29.574055+00:00,./5.png,-87.1112037650945,34.81456956084064,nm,-2.506993805431527,0.9897944444372654,nm/s,True
2025-07-17T21:16:34.868967+00:00,./6.png,-100.2828564848066,40.137571133899215,nm,-2.487605595657133,1.0053050122567808,nm/s,True
2025-07-17T21:16:39.963696+00:00,./7.png,-113.0481582887841,45.33995811668351,nm,-2.505589954633011,1.0211312481555537,nm/s,True
2025-07-17T21:16:50.085936+00:00,./8.png,-138.3981497461091,55.371308555527754,nm,-2.5043855369290804,0.9910208055572921,nm/s,True
datetime,filename,corr_offset_x,corr_offset_y,corr_offset_units,corr_rate_x,corr_rate_y,corr_rate_units,scan_matched
2025-07-18T00:03:49.576201+00:00,./0.png,,,,,,,False
2025-07-18T00:03:58.779397+00:00,./1.png,-23.134849031637195,9.15193071093468,nm,-2.513784236654005,0.9944296210723622,nm/s,True
2025-07-18T00:04:05.038062+00:00,./2.png,-38.745868400541,15.481391419151956,nm,-2.4943049945801237,1.0113116308697265,nm/s,True
2025-07-18T00:04:10.518254+00:00,./3.png,-52.55154106444081,21.09935243206328,nm,-2.5191950690595895,1.0251394500249855,nm/s,True
2025-07-18T00:04:15.056171+00:00,./4.png,-63.75669446831595,25.51345406339249,nm,-2.46922837149184,0.9727153738883302,nm/s,True
2025-07-18T00:04:25.212646+00:00,./5.png,-89.17430034287538,35.7120567156045,nm,-2.502601136177604,1.00414786155748,nm/s,True
2025-07-18T00:04:35.140121+00:00,./6.png,-114.0871866256262,45.47960342406081,nm,-2.50948869503583,0.9838903355038738,nm/s,True
2025-07-18T00:04:45.327422+00:00,./7.png,-139.45428967932358,55.745719452848846,nm,-2.4900710260448156,1.0077365956682773,nm/s,True
2025-07-18T00:04:54.926866+00:00,./8.png,-163.57149079317884,65.50166604712662,nm,-2.512353956526572,1.0163032978032656,nm/s,True
2025-07-18T00:05:05.861227+00:00,./9.png,-190.79648660880585,76.30890489374693,nm,-2.4898570493170116,0.9883740665431029,nm/s,True
2025-07-18T00:05:10.615721+00:00,./10.png,-202.69594094305296,81.14185437460124,nm,-2.502780387197273,1.0165013313413183,nm/s,True
2025-07-18T00:05:21.395188+00:00,./11.png,-229.73553656039036,91.69688056428976,nm,-2.50843530736143,0.9791788582578816,nm/s,True
2025-07-18T00:05:26.603213+00:00,./12.png,-242.63231625825205,96.9955329349008,nm,-2.4763283006248398,1.0174014853252513,nm/s,True
2025-07-18T00:05:36.634522+00:00,./13.png,-267.77649725693544,107.23099835561547,nm,-2.5065702789818753,1.0203519222381328,nm/s,True
